"time","rep","importation","facemask","infections"
35,4,1,"0",0
36,4,1,"0",0
37,4,1,"0",0
38,4,1,"0",0
39,4,1,"0",0
40,4,1,"0",0
41,4,1,"0",0
42,4,1,"0",0
43,4,1,"0",0
44,4,1,"0",0
45,4,1,"0",0
46,4,1,"0",0
47,4,1,"0",0
48,4,1,"0",0
49,4,1,"0",0
50,4,1,"0",0
51,4,1,"0",0
52,4,1,"0",0
53,4,1,"0",0
54,4,1,"0",0
55,4,1,"0",0
56,4,1,"0",0
57,4,1,"0",0
58,4,1,"0",0
59,4,1,"0",0
60,4,1,"0",0
61,4,1,"0",0
62,4,1,"0",0
63,4,1,"0",0
64,4,1,"0",0
65,4,1,"0",0
66,4,1,"0",0
67,4,1,"0",0
68,4,1,"0",0
69,4,1,"0",0
70,4,1,"0",0
71,4,1,"0",0
72,4,1,"0",0
73,4,1,"0",0
1,5,1,"0",1
2,5,1,"0",1
3,5,1,"0",0
4,5,1,"0",1
5,5,1,"0",0
6,5,1,"0",0
7,5,1,"0",0
8,5,1,"0",0
9,5,1,"0",0
10,5,1,"0",0
11,5,1,"0",0
12,5,1,"0",0
13,5,1,"0",0
14,5,1,"0",0
15,5,1,"0",0
16,5,1,"0",0
17,5,1,"0",0
18,5,1,"0",0
19,5,1,"0",0
20,5,1,"0",0
21,5,1,"0",0
22,5,1,"0",0
23,5,1,"0",0
24,5,1,"0",0
25,5,1,"0",0
26,5,1,"0",0
27,5,1,"0",0
28,5,1,"0",0
29,5,1,"0",0
30,5,1,"0",0
31,5,1,"0",0
32,5,1,"0",0
33,5,1,"0",0
34,5,1,"0",0
35,5,1,"0",0
36,5,1,"0",0
37,5,1,"0",0
38,5,1,"0",0
39,5,1,"0",0
40,5,1,"0",0
41,5,1,"0",0
42,5,1,"0",0
43,5,1,"0",0
44,5,1,"0",0
45,5,1,"0",0
46,5,1,"0",0
47,5,1,"0",0
48,5,1,"0",0
49,5,1,"0",0
50,5,1,"0",0
51,5,1,"0",0
52,5,1,"0",0
53,5,1,"0",0
54,5,1,"0",0
55,5,1,"0",0
56,5,1,"0",0
57,5,1,"0",0
58,5,1,"0",0
59,5,1,"0",0
60,5,1,"0",0
61,5,1,"0",0
62,5,1,"0",0
63,5,1,"0",0
64,5,1,"0",0
65,5,1,"0",0
66,5,1,"0",0
67,5,1,"0",0
68,5,1,"0",0
69,5,1,"0",0
70,5,1,"0",0
71,5,1,"0",0
72,5,1,"0",0
73,5,1,"0",0
1,6,1,"0",0
2,6,1,"0",0
3,6,1,"0",0
4,6,1,"0",0
5,6,1,"0",0
6,6,1,"0",0
7,6,1,"0",0
8,6,1,"0",0
9,6,1,"0",0
10,6,1,"0",0
11,6,1,"0",0
12,6,1,"0",0
13,6,1,"0",0
14,6,1,"0",0
15,6,1,"0",0
16,6,1,"0",0
17,6,1,"0",0
18,6,1,"0",0
19,6,1,"0",0
20,6,1,"0",0
21,6,1,"0",0
22,6,1,"0",0
23,6,1,"0",0
24,6,1,"0",0
25,6,1,"0",0
26,6,1,"0",0
27,6,1,"0",0
28,6,1,"0",0
29,6,1,"0",0
30,6,1,"0",0
31,6,1,"0",0
32,6,1,"0",0
33,6,1,"0",0
34,6,1,"0",0
35,6,1,"0",0
36,6,1,"0",0
37,6,1,"0",0
38,6,1,"0",0
39,6,1,"0",0
40,6,1,"0",0
41,6,1,"0",0
42,6,1,"0",0
43,6,1,"0",0
44,6,1,"0",0
45,6,1,"0",0
46,6,1,"0",0
47,6,1,"0",0
48,6,1,"0",0
49,6,1,"0",0
50,6,1,"0",0
51,6,1,"0",0
52,6,1,"0",0
53,6,1,"0",0
54,6,1,"0",0
55,6,1,"0",0
56,6,1,"0",0
57,6,1,"0",0
58,6,1,"0",0
59,6,1,"0",0
60,6,1,"0",0
61,6,1,"0",0
62,6,1,"0",0
63,6,1,"0",0
64,6,1,"0",0
65,6,1,"0",0
66,6,1,"0",0
67,6,1,"0",0
68,6,1,"0",0
69,6,1,"0",0
70,6,1,"0",0
71,6,1,"0",0
72,6,1,"0",0
73,6,1,"0",0
1,7,1,"0",1
2,7,1,"0",0
3,7,1,"0",0
4,7,1,"0",0
5,7,1,"0",0
6,7,1,"0",0
7,7,1,"0",0
8,7,1,"0",0
9,7,1,"0",0
10,7,1,"0",0
11,7,1,"0",0
12,7,1,"0",0
13,7,1,"0",0
14,7,1,"0",0
15,7,1,"0",0
16,7,1,"0",0
17,7,1,"0",0
18,7,1,"0",0
19,7,1,"0",0
20,7,1,"0",0
21,7,1,"0",0
22,7,1,"0",0
23,7,1,"0",0
24,7,1,"0",0
25,7,1,"0",0
26,7,1,"0",0
27,7,1,"0",0
28,7,1,"0",0
29,7,1,"0",0
30,7,1,"0",0
31,7,1,"0",0
32,7,1,"0",0
33,7,1,"0",0
34,7,1,"0",0
35,7,1,"0",0
36,7,1,"0",0
37,7,1,"0",0
38,7,1,"0",0
39,7,1,"0",0
40,7,1,"0",0
41,7,1,"0",0
42,7,1,"0",0
43,7,1,"0",0
44,7,1,"0",0
45,7,1,"0",0
46,7,1,"0",0
47,7,1,"0",0
48,7,1,"0",0
49,7,1,"0",0
50,7,1,"0",0
51,7,1,"0",0
52,7,1,"0",0
53,7,1,"0",0
54,7,1,"0",0
55,7,1,"0",0
56,7,1,"0",0
57,7,1,"0",0
58,7,1,"0",0
59,7,1,"0",0
60,7,1,"0",0
61,7,1,"0",0
62,7,1,"0",0
63,7,1,"0",0
64,7,1,"0",0
65,7,1,"0",0
66,7,1,"0",0
67,7,1,"0",0
68,7,1,"0",0
69,7,1,"0",0
70,7,1,"0",0
71,7,1,"0",0
72,7,1,"0",0
73,7,1,"0",0
1,8,1,"0",0
2,8,1,"0",0
3,8,1,"0",0
4,8,1,"0",0
5,8,1,"0",0
6,8,1,"0",0
7,8,1,"0",2
8,8,1,"0",0
9,8,1,"0",0
10,8,1,"0",2
11,8,1,"0",0
12,8,1,"0",0
13,8,1,"0",0
14,8,1,"0",0
15,8,1,"0",0
16,8,1,"0",0
17,8,1,"0",0
18,8,1,"0",0
19,8,1,"0",0
20,8,1,"0",0
21,8,1,"0",0
22,8,1,"0",0
23,8,1,"0",0
24,8,1,"0",0
25,8,1,"0",0
26,8,1,"0",0
27,8,1,"0",0
28,8,1,"0",0
29,8,1,"0",0
30,8,1,"0",0
31,8,1,"0",0
32,8,1,"0",0
33,8,1,"0",0
34,8,1,"0",0
35,8,1,"0",0
36,8,1,"0",0
37,8,1,"0",0
38,8,1,"0",0
39,8,1,"0",0
40,8,1,"0",0
41,8,1,"0",0
42,8,1,"0",0
43,8,1,"0",0
44,8,1,"0",0
45,8,1,"0",0
46,8,1,"0",0
47,8,1,"0",0
48,8,1,"0",0
49,8,1,"0",0
50,8,1,"0",0
51,8,1,"0",0
52,8,1,"0",0
53,8,1,"0",0
54,8,1,"0",0
55,8,1,"0",0
56,8,1,"0",0
57,8,1,"0",0
58,8,1,"0",0
59,8,1,"0",0
60,8,1,"0",0
61,8,1,"0",0
62,8,1,"0",0
63,8,1,"0",0
64,8,1,"0",0
65,8,1,"0",0
66,8,1,"0",0
67,8,1,"0",0
68,8,1,"0",0
69,8,1,"0",0
70,8,1,"0",0
71,8,1,"0",0
72,8,1,"0",0
